Product,Strength
Levofloxacin  Accord,250 mg/50 ml solution  for infusion
Levofloxacin  Adipharm,500 mg/100 ml solution  for infusion
Levofloxacin B. Braun,5 mg/ml solution for  infusion
Levofloxacin  Beximco,500 mg film - coated  tablets
Levofloxacin  Beximco,500 mg film - coated  tablets
Levofloxacin Ecopharm,5 mg/ml solution for  infusion
Levofloxacin  Kabi,5 mg/ml solution for  infusion
Levofloxacin  Mylan,250 mg film - coated  tablets
Levofloxacin  Mylan,500 mg film - coated  tablets
Levofloxacin  Pfizer,"5 mg/ml eye drops,  solution"
Levofloxacin  Sanovel,5 mg/ml concetrate for  oral solution
Levofloxacin  Teva,5 mg film - coated  tablets
Levofloxacin  Teva,drops 25 mg/ml
Levofloxan,5 mg/ml solution for  infusion
Levofloxan,500 mg film - coated  tablets
Levofloxan,20 micrograms/24 hours  intrauterine delivery system
Levofloxan,"12,5 micrograms tablets"
Levo-Methasan,25 micrograms tablets
Levomil,50 micrograms tablets
Levopraid 25,75 micrograms tablets
Levor,88 micrograms tablets
Levor,112 micrograms tablets
Levosert,110 micrograms tablets
Levothyroxine  Accord,125 micrograms tablets
Levothyroxine  Accord,137 micrograms tablets
Levothyroxine  Accord,150 micrograms tablets
Levothyroxine  Accord,175 micrograms tablets
Levothyroxine  Accord,200 micrograms tablets
Levothyroxine  Accord,5 mg/ml solution for  infusion
Levothyroxine  Accord,250 mg film - coated  tablets
Levothyroxine  Accord,5 mg/ml solution for  infusion
Levothyroxine  Accord,500 mg film - coated tablets
Levothyroxine  Accord,3  mg tablets
Levothyroxine  Accord,2 mg tablets
Levothyroxine  Accord,4 mg tablets
Levoxa,8 mg tablets
Levoxa,100 mg tablets
Levoxa,150 mg film - coated  tablets
Levoxa,42 mg/ml intrauterine  gel
Lexotan,4 % cream
Lextril,"4,6 mg /dose cutaneous  spray, solution"
Lextril,5 % ointment
Lextril,20 mg/ml solution for  injection
Libexin,10 mg/ml solution for  injection
Licobondrat,5 mg/ml solution for  injection
Lidbree,10 mg/ml solution for  injection
Lidiam,20 mg/ml solution for  injection
Lidocain  - EGIS,20 mg/ml solution for  injection
Lidocain Actavis,10 mg/ml solution for  injection
Lidocain  DS,10 mg/ml solution
Lidocain  DS,20 mg/ml solution for  injection
Lidocain Sopharma,20 mg/ml solution for  injection
Lidocain Sopharma,10 mg/ml solution for  injection
Lidocain Sopharma,10 mg/ml solution for  injection
Lidocain  VP,20 mg/ml solution for  injection
Lidocain  VP,"4,6 mg/dose cutaneous  spray, solution"
Lidocaine - Tchaikapharma,5 mg/ml solution for injection
Lidocaine - Tchaikapharma,"50 micrograms/500  micrograms per metered dose, inahalation powder"
Lidocaine  Accord,500 mg film - coated  tablets
Lidocaine  Accord,250 mg film - coated  tablets
Lidocaine  Claris,"1,5 g powder for  solution for injection/infusion"
Lidocaine  Claris,750 g powder for  solution for injection/infusion
Lidocain-EGIS,1 mg tablets
Lidocaine-Tchaikapharma,2 mg tablets
Lifsar  PulmoJet,3 mg tablets
Lifurox,4 mg tablets
Lifurox,sol. inj. 600 mg/2 ml -  2 ml x 5
Lifurox,caps. 250 mg x 20
Lifurox,sol. inj. 600 mg/2 ml -  2 ml x 5
Limeral,caps. hard x 20
Limeral,500 mg hard capsules
Limeral,300 mg/ml solution for  injection
Limeral,600 mg film - coated tablets
Lincomycin,tabl. 10 mg x 14; x 28
Lincomycin,75 micrograms/20  micrograms coated tablets
Lincomycin  Actavis,75 micrograms/30  micrograms coated tablets
Lincomycin  Actavis,"150 mg capsules, hard"
Lincomycin  Actavis,"50 mg capsules, hard"
Lincomycin Actavis,"75 mg capsules, hard"
Linczolid  KRKA,2 mg/ml solution for  infusion
Lindron,2 mg/ml solution for  infusion
Lindynette 20,2 mg/ml solution for infusion
Lindynette  30,2 mg /ml solution for  infusion
Linefor,2 mg /ml solution for  infusion
Linefor,2 mg/ml solution for  infusion
Linefor,600 mg film - coated  tablets
Linestad,600 mg film - coated  tablets
Linezolid - Tchaikapharma,2 mg/ml solution for  infusion
Linezolid  Actavis,2 mg/ml solution for  infusion
Linezolid  Kabi,25 mg hard capsules
Linezolid  Kabi,75 mg hard capsules
Linezolid  Krka,150 mg hard capsules
Linezolid  KRKA,herbal drug - 50 g
Linezolid  Polpharma,herbal drug - 50 g; 80  g; 100 g
Linezolid  Polpharma,"2,5 mg tablets"
Linezolid  Sandoz,20 mg tablets
Lingabat,5 mg tablets
Lingabat,10 mg tablets
Lingabat,10 mg tablets
Lini  Semen,"0,815 g/100 g cream"
Lini  Semen,badh additive
Linipril,cream 12% - 50g; 75 g
Linipril,100 micrograms/g ceram
Linipril,1000 IU/g
Linipril,"100 mg capsules, hard"
Linipril,"200 mg capsules, hard"
Linola  Fett,"267 mg capsules, hard"
Linola Fett,160 mg film - coated  tablets
Linola  Urea,10 mg/5 mg/5 mg film -  coated tablets
Linoladiol  N,20 mg/5 mg/5 mg film -  coated tablets
Lioton  1000 Gel,20 mg/10 mg/5 mg film -  coated tablets
Lipanor,20 mg/10 mg/10mg film -  coated tablets
Lipanthyl  200 M,40 mg/10 mg10 mg film -  coated tablets
Lipanthyl  267 M,10 mg tablets
Lipanthyl  Supra,1 mg film-coated tablets
Lipertance,2 mg film-coated tablets
Lipertance,4 mg film-coated tablets
Lipertance,emulsion for infusion
Lipertance,emul. inf. 20% - 100 ml  x 10; 250 ml x 10; 500 ml x 10
Lipertance,40 mg tablets
Lipobon,20 mg tablets
Lipocante,2.5mg; 5 mg; 10mg; 20mg  tablets
Lipocante,emul. inf. - 100 ml; 250  ml; 500 ml
Lipocante,10 mg tablets
Lipofundin  MCT/LCT 10%,20 mg tablets
Lipofundin  MCT/LCT 20%,5 mg tablets
Lipopres,5 mg tablets
Lipopres,10 mg tablets
Lipovenoes  10% PLR,20 mg tablets
Lisigamma,tabl. 10 mg x 30; x 50;  x 100
Lisigamma,tabl. 10 mg x 30
Lisigamma,tabl. 20 mg x 30
Lisigamma,10  mg tablets
Lisinopril  Sopharma,5  mg tablets
Lisinopril  Sopharma,20  mg tablets
Lisinopril  Sopharma,30 mg  tablets
Lisinopril  Stada 10,15 mg  tablets „
Lisinopril  Tchaikapharma,45 mg  tablets
Lisinopril  Tchaikapharma,60 micrograms/24 hours +  13 micrograms/24 hours transdermal patch
Lisinopril  Unipharm,"sol. inj. 0,15 mmol/ml -  10 ml x 5"
Lisinopril  Unipharm,"2,5 mg tablets"
Lisinopril  Unipharm,tabl. 20 mg x 28
Lispecip,tabl. 10 mg x 28
Lispecip,tabl. 5 mg x 28
Lispecip,"cream 0,05% - 30 g"
Lisvy,"0,1% cream"
"Lithium  Chloride 0,15 mmol/ml","0,1% cutaneous emulsion"
Livial,"0,1  % cream"
Lizopril,cream 1 mg/g - 15 g; 30  g
Lizopril,100  mg tablets
Lizopril,300  mg tablets
"Locacid  0,05% cream",1 mg modified - release  tablets
Locatop,2 mg modified - release  tablets
Locoid  Crelo,5 mg modified - release  tablets
Locoid Lipocream,"10 mg/6,25 mg film -  coated tablets"
"Locoid  Lipocream Cream 0,1%","5 mg/6,25 mg film -  coated tablets"
Lodiric,"2,5 mg/6,25 mg film -  coated tablets"
Lodiric,75 mg film-coated  tablets
Lodotra,"0,02 mg/0,075 mg coated tablets"
Lodotra,"0,5 mg hard capsules"
Lodotra,tabl. film 20 mg x 28
Lodoz,"600 mg vaginal capsule,  soft"
Lodoz,2% cream
Lodoz,"2,5 mg film - coated  tablets"
Lofradyk,"2 mg hard capsules, hard"
Logest,2 mg/125 mg tablets
Lognif,caps. 2 mg x 10; x 20; x  50
Lokren,200 mg/50 mg film - coated  tablets
Lomexin,"10 mg gastro - resistant  capsules, hard"
Lomexin,"20 mg gastro - resistant  capsules, hard"
Loosyn,"40 mg gastro - resistant  capsules, hard"
Lopedium,50 mg muco - adhesive  buccal tablet
Lopedium  Plus,10 mg tablets
Loperamid  Stada,1 mg tablets
Lopinavir/Ritonavir  Accord,"2,5 mg tablets"
Loprilin,tabl. 10 mg x 10
Loprilin,tabl. 10 mg x 10; x 30
Loprilin,tabl. 10 mg x 7; x 20; x  50; x 100
Loramyc,10 mg tablets
Lorano,10  mg tablets
Lorapam,5 mg film - coated  tablets
Lorapam,"2,5 mg/5 ml syrup"
Loratadin,5 mg film - coated  tablets
Loratadin  10-SL,"0,5 mg/ml oral solution"
Loratadin  AL 10,syr. 5 mg/5 ml - 100 ml
Loratadin  Sopharma,tabl. 10 mg x 10
Loratadin  Unipharm,"0,2 mg/30 mg/g ointment"
Lordes,"0,2 mg/30 mg/g ointment"
Lordes,"0,2 mg/5 mg/g cream"
Lordestin,"12,5 mg film - coated  tablets"
Lordestin,25 mg film - coated  tablets
Loredin,50 mg film - coated  tablets
Loredin,100 mg film - coated  tablets
Lorinden  A,"50 mg/12,5 mg film - coated  tablets"
Lorinden  C,"100 mg/12,5 mg film - coated  tablets"
Lorinden N,"100 mg/12,5 mg fllm -  coated tablets"
Lorista,8 mg powder and solvent  for solution for injection
Lorista,"2,5 mg film - coated  tablets"
Lorista,50 mg/12.5 mg  film-coated tablets
Lorista,50 mg film-coated  tablets
Lorista  H,"50 mg/12,5 mg film -  coated tablets"
Lorista  HD,tabl. film. 50 mg x 30
Lorista HL,tabl. film. 100 mg x 30
Lornoxicam  Rompharm,"12.5 mg, 50 mg, 100 mg  film-coated tablets"
Lortanda,coated tabl. 25 mg; 50 mg; 100  mg;
Losarcon-Co,25mg; 50 mg; 100 mg  film-coated tablets
Losarlen,50 mg film - coated tablets
Losarlen  H,powd. inf. 40 mg x 5
Losartan  - Tchaikapharma,"50 mg, 100 mg  film-coated tablets"
Losartan  - Tchaikapharma,2 000 IU (20 mg)/0.2 ml  solution for injection in pre - filled syringe
Losartan  Genericon,4 000 IU (40 mg)/0.4 ml  solution for injection in pre - filled syringe
Losartan  Pfizer,6 000 IU (60 mg)/0.6 ml  solution for injection in pre - filled syringe
Losartan  Plus Esp Pharma,8 000 IU (80 mg)/0.8 ml  solution for injection in pre - filled syringe
Losartan  Potassium Aurobindo,10 000 IU (100 mg)/1 ml  solution for injection in pre - filled syringe
Losec  40 mg,100 mg tablets
Losec  Mups,50 mg film - coated  tablets
Losmina,100 mg  film - coated tablets
Losmina,tabl. 15 mg x 10; x 20
Losmina,"tabl. 7,5 mg x 10; x 20"
Losmina,"tabl. film. 12,5 mg x  30; x 60; x 90"
Losmina,100 mg film - coated  tablets
Lostrazin,50 mg film - coated  tablets
Lotar,tabl. film 100 mg x 30;  x 60; x 90
Lotar,"tabl. film 12,5 mg x 30;  x 60; x 90"
Loximed  15,tabl. film 50 mg x 30; x  60; x 90
"Loximed  7,5","50 mg/12,5 mg film - coated  tablets"
Lozap,100 micrograms tablets
Lozap,150 micrograms tablets
Lozap,50 micrograms tablets
Lozap  100,75 micrograms tablets
"Lozap  12,5",5 mg chewabl tablets
Lozap  50,4 mg chevabl tablets
Lozap  H,sol. inj. 3 g - 15 ml x  4; x 20
L-Thyroxin  100 Berlin-Chemie,sol. inj. 1 g - 5 ml x  10
L-Thyroxin  150 Berlin-Chemie,200 mg / ml solution for  injection / infusion
L-Thyroxin 50 Berlin-Chemie,200 mg / ml solution for  injection / infusion
L-Thyroxin 75 Berlin-Chemie,400 mg film - coated tablets
Lucaratio,800 mg film - coated tablets
Lucaratio,1200 mg film - coated tablets
Lucetam,5 mg/ml solution for  injection
Lucetam,"11,25 mg powder and  solvent for suspension for injection"
Lucetam,"3,75 mg powder and  solvent for suspension for injection"
Lucetam,"3,75 mg powder and  solven for suspension for injection"
Lucetam,"11,25 mg powder and  solven for suspension for injection"
Lucetam,10 mg film - coated  tablets
Lucetam,25 mg film - coated  tablets
Lucrin  Daily,spray nas. x 20 ml
Lucrin  Depot,tabl. x 50
Lucrin  Depot,"3 mg/0,03 mg film -  coated tablets"
Lucrin  PDS Depot,guiding catheter
Lucrin  PDS Depot,200 micrograms  sublingual tablets
Ludiomil,100 micrograms  sublingual tablets
Ludiomil,300 micrograms  sublingual tablets
Luffa  comp. - Heel,400 micrograms  sublingual tablets
Luffa  Compositum Heel,600 micrograms  sublingual tablets
Lulina,800 micrograms  sublingual tablets
Lumax,100 mg film - coated  tablets
Lunaldin,200 mg film - coated  tablets
Lunaldin,25 mg film - coated  tablets
Lunaldin,50 mg film - coated  tablets
Lunaldin,50 mg film-coated  tablets
Lunaldin,100 mg vaginal tablets
Lunaldin,"22,5 mg powder and  solvent for prolonged - release suspension for injection"
Lusitrax,"22,5 mg powder and  solvent for prolonged - release suspension for injection"
Lusitrax,"3,75 mg powder and  solvent for prolonged - release suspension for injection"
Lusitrax,80 mg prolonged -  release tablets
Lusitrax,"2 mg/ml eye drops,  solution"
Lusopress,"2 mg/ml + 5 mg/ml eye  drops, solution"
Lutinus,5 mg/10 mg film - coated  tablets
Lutrate  Depot,10 mg/10 mg film -  coated tablets
Lutrate  Depot,sol. inj. 50 mg/ml
Lutrate  Depot,tabl. x 50
Luvinsta,"oral drops, solution"
Luxfen,solution for injection
Luxfen  Combi,"2,5 mg/ml powder for  concetrate for solution for infusion"
Luxtanor,sol. inj. 2% - 5 ml x 5;  x 25
Luxtanor,sol. inj. 1% - 5 ml x 5;  x 25
Lydol,10 mg/ml solution for  injection
Lymphomyosot,20 mg/ml solution for  injection
Lymphomyosot,250 mg film - coated  tablets
Lymphomyosot,500 mg film - coated  tablets
Lynetoril,750 mg film - coated  tablets
Lysthenon,1000 mg film - coated  tablets
Lysthenon,250; 500; 750; 10000 mg  flim coated tablets
Lysthenon,
Lysthenon,
Lyvam,
Lyvam,описание:
Lyvam,
Lyvam,50 mg capsules
Lyvman,50 mg/ml solution for  injection
,100 mg prolonged -  release tablets
"Одобрени КХП на лекарствени продукти, разрешени за употреба в Р.  България",150 mg prolonged -  release tablets
,200 mg prolonged -  release tablets
търговско  наименование:,200 mg coated tablets
,500 mg/200 000 IU  vaginal caream
Mabron,100 mg/40 000 IU vaginal  cream
Mabron,400 mg film - coated  tablets
Mabron  MR,175 mg/ 5 ml granules  for oral suspension
Mabron  MR,"powd. susp. inj. vial  2,0 mg x 5"
Mabron  MR,"2,0 mg kit for  preparation of 99 mTc human albumin macroaggregats (Macrosalb) suspension for  injection"
Macmiror,"2,0 mg kit for  preparation of Tc human albumin macroaggregates suspension for injection"
Macmiror  Complex,100 mg/25 mg dispersible  tablets
Macmiror  Complex,200 mg/50 mg tablets
Macropen,"100 mg/25 mg  prolonged - release capsules, hard"
Macropen,30 mg modified - release  tablets
Macrotec,60 mg modified - release  tablets
Macrotec,470 mg/5 mg coated tablets
Macrotet,500 micromol/ml solution  for injection
Madopar,500 mg tablets
Madopar,500 mg tablets
Madopar  HBS,400 mg powder for oral  solution
Madras  MR,"gran. 1 830 mg  (magnesium 295,7 mg) x 20"
Madras  MR,400 mg granules
Magne  B6,30 g powder for oral  solution
Magnegita,powder for oral solution
Magnerich,powder for oral solution
Magnerot,500 mcrmol/ml solution  for injection
Magnesium Diasporal,469 mg/ml solution for  injection/infusion
Magnesium  Diasporal 300,10 mg/ml syrup
Magnesium  Diasporal Direct,"50 mg/ml oral drops,  solution"
Magnesium  Sulphate Galen - pharma,"100 mg/0,35 mg chewable  tablets"
Magnesium  Sulphate Toni - M,5 mg tablets
Magnesium Sulphate VT,"3,5 mg tablets"
Magnetolux,sol. inf. 500 ml x 1
Magnevit,15 % solution for  infusion
Maltofer,10% solution for  infusion
Maltofer,10% solution for  infusion
Maltofer  Fol,1  mg tablets
Maninil,16 mg tablets
Maninil,8 mg tablets
Mannitol  15%,24 mg tablets
Mannitol  B. Braun,5 mg/ml solution for  injection
Mannitol  BAXTER,5 mg/ml solution for  injection
Mannitol  Biopharm,"0,15 mg/0,03 mg tablets"
Maprazax,5 mg tablets
Marbeta,drops - 100 ml
Marbeta,tablets
Marbeta,sol. - 100 ml; 250 ml;  500 ml
Marcaine  Spinal,10 mg tablets
Marcaine  Spinal Heavy,5 mg tablets
Marvelon,10 mg oral lyophilisate
Massido,5 mg oral lyophilisate
Mastodynon,"1 mg/ml eye drops,  suspennsion"
Mastodynon,1 mg/g eye ointment
Maurers  Krautergarten Original Schwedenbitter aus 32 krautern,l g powder for solution  for injection
Maxalt,"3500 IU/6000 IXJ/l mg/ml  eye drops, suspension"
Maxalt,"3500 IU/6000 IXJ/l mg/ml  eye drops, suspension"
Maxalt  RPD,3 500 IU/6 000 IU/1 mg/g  eye ointment
Maxalt  RPD,50 mg film - coated tablets
Maxidex,100 mg film - coated tablets
Maxidex,25 mg film - coated tablets
Maxipime,"500 mg/ml oral drops,  solution"
Maxitrol,100 mg film - coated  tablets
Maxitrol,400 mg film - coated  tablets
Maxitrol,500 mg gastro -  resistant tablets
Maysiglu,100 mg prolnged -  release tablets
Maysiglu,200 mg prolnged -  release tablets
Maysiglu,50 mg prolnged - release  tablets
Mealgin,"combipack of  Mifepristone 200 mg tablet and Misoprostol 4 х 0,2 mgvaginal tablets"
Meaxin,200 mg. tabl.
Meaxin,1 g powder for solution  for injection
Mecolzine,2 g powder for solution  for injection
Mecorlong,"100 % medicinal gas,  cryogenic"
Mecorlong,"100% medicinal gas,  cryogenic"
Mecorlong,5 mg tablets
Medabon,10 mg tablets
Medabon combipaK of  Mifepristone,20 mg tablets
Medaxone,"40 mg modified - release  capsules, hard"
Medaxone,"30 mg modified - release  capsules, hard"
Medicinal  Liquid Oxygen Air Liquide Bulgaria,"20 mg modified - release  capsules, hard"
Medicinal  Liquid Oxygen Prescriptia,"10 mg modified - release  capsules, hard"
Medikinet,"5 mg modified - release  capsules, hard"
Medikinet,100 mg/ml solution for  injection
Medikinet,1 g powder for solution  for injection
Medikinet  MR,2 g powder for solution  for injection
Medikinet  MR,"125 mg/31,25/5 ml powder  for oral suspension"
Medikinet  MR,250 mg/125 mg film -  coated tablets x 16
Medikinet  MR,500 mg/125 mg film -  coated tablets
Medikinet  MR,1000mg/200mg powder for  solution for injection/infusion
Medocapron,875mg/125mg film-coated  tablets
Medocef,powd. inj. 1 000 mg/ 200  mg x 25; x 100
Medocef,400 mg/57 mg/5 ml powder  for oral suspension
Medoclav,"250 mg/62,5/5 ml powder  for oral suspension"
Medoclav,125 mg/5 ml granules for  oral suspension
Medoclav,"250 mg capsules, hard"
Medoclav,"500 mg capsules, hard"
Medoclav,250mg/5ml granules for  oral suspension
"Medoclav  1,2",200 mg film - coated tablets
Medoclav  Bis,50 mg capsules
Medoclav  Forte,150 mg capsules
Medoclor,200 mg capsules
Medoclor,"0,18 mg tablets"
Medoclor,"0,7 mg tablets"
Medoclor Forte,50 mg film - coated  tablets
Medofloxine,1 mg film - coated tablets
Medoflucon,2 mg film - coated tablets
Medoflucon,3 mg film - coated tablets
Medoflucon,4 mg film - coated tablets
Medopexol,500 mg hard capsules
Medopexol,20 mg tablets
Medopride,400 mg tablets
Medorisper,tabl. 500 mg x 10; x 20;  x 30; x 50
Medorisper,sol. inj. 500 mg/ml - 2  ml x 10
Medorisper,4 mg tablets
Medorisper,667 mg/ml syrup
Medospamox,6 mg tablets
Medostatin,1 mg tablets
Medosulpide,2 mg tablets
Medphalgin,3 mg tablets
Medphalgin,4 mg tablets
Medrol,850 mg film-coated table
Medulac-WM,1000 mg film-coated  tablets
Meglimid,500 mg prolonged -  releasetablets
Meglimid,750 mg prolonged -  releasetablets
Meglimid,1000 mg prolonged -  releasetablets
Meglimid,"7,5 mg tablets"
Meglimid,"15 mg/1,5 ml solution  for injection"
Meglucon,15 mg tablets
Meglucon,sol. conc. cut./oral -  47 ml; 95 ml; 155 ml; 235 ml; 475 ml
Meglucon  XR,50 mg/850 mg film -  coated tablets
Meglucon  XR,50 mg/1000 mg film -  coated tablets
Meglucon  XR,750 micrograms tablets
Melbek,"0,035 mg/2 mg film -  coated tablets"
Melbek,30 mg modified-release  tablers
Melbek  Fort,60 mg modified - release  tablets
Melisana  Klosterfrau Melissengeist Distillate,"0,1 % cream"
Melkart  Duo,15 mg tablets
Melkart  Duo,10 mg/ml solution for  injection
Melkidos,15 mg tablets
Melleva,"7,5 mg tablets"
Mellizide,"15 mg/1,5 ml solution  for injection"
Mellizide,50 mg powder and solvent  for solution for injection/infusion
Melocort,10 mg/ml oral solution
Melox,10 mg film - coated  tablets
Melox,10 mg film - coated  tablets
Meloxicam - Ratiopharm,20 mg film - coated  tablets
Meloxicam - Ratiopharm,10 mg film - coated  tablets
Meloxicam  DS,10 mg film - coated  tablets
Melphalan  Pharmexon,10 mg orodispersible  tablets
Memantine  Chanelle Medical,20 mg orodispersible  tablets
Memantine Cipla,
Memantine  Glenmark,10 mg film - coated  tablets
Memantine  Glenmark,40 mg film - coated  tablets
Memantine  Sopharma,2400 mg powder for oral  solution
Memantine  Stada,1200 mg powder for oral  solution
Memantine  Teva,2 mg tablets
Memantine  Teva,powder and solvent for  suspension for injection
,100 mg/25 mg tablets
Memigmin,200 mg/50 mg tablets
Memoplant,75 IU/75 IU powder and  solvent for solution for injection
Memotropil,1000 mg powder for  solution for onjection/infusion
Memotropil,1 g powder for solution  for injection/infusion
Mendilex,75 IU powder and solvent  for solution for injection
Meningococcal  Polysaccharide Vaccine A + C,1200 IU powder and  solvent for solution for injection
Menkart,600 IU powder and  solvent for solution for injection
Menkart,150 IU powder and  solvent for solution for injection
Menogon,75 IU powder and solvent  for solution for injection
Menoinfex,oint 2 % - 100 g
Menoinfex,30 mg/ ml solution for  injection
Menopur,20 mg; 40 mg gastro  -resistant cps. Hard
Menopur,20 mg gastro - resistant  tablets
Menopur,40 mg gastro - resistant  tablets
Menotrophin  LG,40 mg powder for  solution for injection/infusion
Menotrophin  LG,"1 mg/ml nasal spray,  solution"
Menthol  Galen - Pharma,"0,5 mg/ml nasal spray,  solution"
Mepivastesin,"0,15 mg/0,02 mg tablets"
Meprene,1 g powder for solution  for injection or infusion
Meprezor,150 IU powder and  solvent for solution for injection
Meprezor,75 IU powder and solvent  for solution for injection
Meprezor,powder and solvent for  solution for injection
Meralys,powder and solvent for  solution for injection
Meralys,powder and solvent for  solution for injection
Mercilon,powder and solvent for  solution for injection
Merinfec,powd. inj. 150 IU +  solv. 1 ml x 1; x 10
Meriofert,powd. inj. 75 IU + solv.  1 ml x 1; x 10
Meriofert,1 g powder for solution  for injection or infusion
Meriofert 150 IU,500 mg powder for  solution for injection or infusion
Meriofert 75 IU,500 mg powder for  solution for injection or infusion
Meriofert PFS 150 IU,1 g powder for solution  for injection or infusion
Meriofert PFS 75 IU,500 mg powder for  solution fpr injection or infusion
Merional,1 g powder for solution  fpr injection or infusion
Merional,1 g powder for solution  for injection or infusion
Meronem,500 mg powder for  solution for injection or infusion
Meronem,1 g powder for solution  for injection/infusion
Meronem Kabi,500 mg powder for  solution for injection/infusion
Meronem Kabi,1 g powder for solution  for injection/infusion
Meronem Rambaxy,1000 mg powder for  solution for injection/infusion
Meronem Rambaxy,500 mg powder for  solution for injection/infusion
Merope,1 g powder for solution  for injection
Merope,500 mg powder for  solution for injection
Meropenem  - Tchaikapharma,500 mg powder for  solution for injection
Meropenem - Tchaikapharma,1 g powder for solution  for injection
Meropenem  Accord,500 mg powder for  solution for injection/ infusion
Meropenem  AptaPharma,1 000 mg powder for  solution for injection/ infusion
Meropenem  AptaPharma,1 g powder for solution  for injection or infusion
Meropenem AvantX,500 mg powder for  solution for injection or infusion
Meropenem AvantX,1 g powder for solution  for injection or infusion
Meropenem  Fanpharma,500 mg powder for  solution for injection or infusion
Meropenem  Fanpharma,500 mg powder for  solution for injection
Meropenem  GSK,1 g powder for solution  for injection
Meropenem  GSK,1 g powder for solution  for injection or infusion
Meropenem  Hospira,500 mg powder for  solution for injection or infusion
Meropenem  Hospira,10 mg film - coated  tablets
Meropenem  Kabi,15 mg film - coated  tablets
Meropenem  Kabi,20 mg film - coated  tablets
Meropenem  Panpharma,5 mg film - coated  tablets
Meropenem  Panpharma,250 mg gastro -  resistant tablets
Meropenem  Ranbaxy,250 mg gastro -  resistant tablets
Meropenem  Ranbaxy,"20 mg gastro - resistant  capsule, hard"
Mersinol,"40 mg gastro - resistant  capsule, hard"
Mersinol,60 mg coated tablets
Mersinol,"9,25 - 18,5 MBq/ml  solution for injection"
Mersinol,10 mg/ml oral solution
Mesalazin Sopharma,500 mg/ml solution for  injcetnion
Mesalazin  Unipharm,500 mg/ml solution for  injcetnion/ infusion
Mesopral,500 mg/ml solution for  injcetnion
Mesopral,150 MBq/vial solution  for injection
Mestinon,sol. inj. vial x 1
Meta  - Idobenyluanidine For Diagnostik Use,1000 mg film - coated  tablets
Metadon  Alkaloid,500 mg film - coated  tablets
Metamizole  Kalceks,850 mg film - coated  tablets
Metamizole  KRKA,1000 mg film - coated  tablets
Metamizole  Sodium VP,500 mg film - coated  tablets
Metastron,850 mg film - coated  tablets
Metastron  150 MBq/4 ml,850 mg film - coated tablets
Metfocon,500 mg film - coated  tablets
Metfocon,1000 mg film - coated tablets
Metfocon,tabl. film 1 000 mg x  30; x 120
Metfodiab,tabl. film 500 mg x 30;  x 120
Metfodiab,tabl. film 850 mg x 30;  x 60; x 90; x 120
Metfodiab,500 mg film - coated tablets
Metfogamma,1000 mg film - coated  tablets
Metfogamma,850 mg film - coated  tablets
Metfogamma,850 mg film-coated  tablets
Metfogamma  1 000,500 mg film - coated tablets
Metfogamma  500,850 mg film - coated tablets
Metfogamma  850,1000 mg film - coated tablets
Metformin  - DC,850 mg film-coated  tablets
Metformin  - DC,1000 mg film-coated  tablets
Metformin  - DC,500 mg prolonged -  release tablets
Metformin  - Tchaikapharma,750 mg prolonged -  release tablets
Metformin  Ecopharm,500 mg film - coated tablets
Metformin  Ecopharm,850 mg film - coated tablets
Metformin  Ecopharm,1000 mg film - coated tablets
Metformin  Generics,850 mg film - coated  tablets
Metformin  Generics,10 mg/ml oral solution
Metformin  Hydrochloride Phoenix,10 mg/ml oral solution
Metformin  Hydrochloride Phoenix,10 mg/ml concentrate for  oral solution
Metformin  Juta,"0,2 mg/ml solution for  injection"
Metformin  Juta,"0,125 mg coated tablets"
Metformin  Juta,10 mg/ml solution for  injection
Metformin Sandoz,"2,5 mg tablets"
Methadone  Sopharma,5 mg tablets
Methadone  Unipharm,10 mg tablets
Methasan,sol. inj. 20 mg/ 2 ml. x  10
Methergin,100 mg/ml concentrate  for solution for infusion
Methering,18 mg prolonged -  release tablets
Methotrexat  Ebewe,27 mg prolonged -  release tablets
Methotrexat  Ebewe,36 mg prolonged - release  tablets
Methotrexat  Ebewe,54 mg prolonged -  release tablets
Methotrexat  Ebewe,16 mg tablets
Methotrexat  Lachema,4 mg tablets
Methotrexate  Accord,40 mg powder for  solution for injection
Methylphenidate  Actavis,"15,78 mg powder and  solvent for solution for injection"
Methylphenidate  Actavis,125 mg powder and  solvent for solution for injection
Methylphenidate  Actavis,250 mg powder and  solvent for solution for injection
Methylphenidate  Actavis,40 mg powder and solvent  for solution for injection
Methylprednisolon  Cortico,"6,31 mg powder and  solvent for solution for injection"
Methylprednisolon Cortico,40 mg powder and solvent  for solution for injection
Methylprednisolone  - Teva,5 mg tablets
Methylprednisolone  Sopharma,tabl. 50 mg x 20; x 30
Methylprednisolone Sopharma,100 mg tablets
Methylprednisolone Sopharma,1 mg/ml solution for  injection
Methylprednisolone Sopharma,"50 mg/ml solution for  injection, pre - filled syringe"
Methylprednisolone Sopharma,"7,5 mg solution for  injection in pre-filled pen"
Methylprednisolone-Tchaikapharma,10 mg solution for  injection in pre-filled pen
Metizol,"12,5 mg solution for  injection in pre-filled pen"
Metocor,15 mg solution for  injection in pre-filled pen
Metocor,"17,5 mg solution for  injection in pre-filled pen"
Metocor,20 mg solution for  injection in pre-filled pen
Metoject,"22,5 mg solution for  injection in pre-filled pen"
Metoject  PEN,25 mg solution for  injection in pre-filled pen
