Product,Strength and Form
Grandaxin,50 mg tablets
Granegis,1 mg film - coated  tablets
Granegis,2 mg film - coated  tablets
Granisetron Teva,3 mg/3 ml concentrate  for solution for injection/infusion
Granocyte 34,"33,6 MIU powder and  solvent for solution for injection/infusion"
GRANU  FINK Femina,hard capsules
GRANU FINK Prosta,hard  capsules
GRANU  FINK Prosta Bladder,400 mg/340 mg hard  capsules
GRANU FINK Prosta Forte,hard  capsules
Grazax,75 000 SQ - T oral  lyophilisate
Grimodin,600 mg film - coated tablets
Grimodin,800 mg film - coated tablets
Grimodin,100 mg hard capsules
Grimodin,300 mg hard capsules
Grimodin,400 mg hard capsules
Gripex,325 mg/30 mg/10 mg film  - coated tablets
Gripex  Horactive for Kids,300 mg/5 mg/20 mg powder  for oral solution
Gripex  HotActive,650 mg/50 mg/10 mg  powder for oral solution
Gripex  HotActive Max,"1000 mg/100 mg/12,2 mg  powder for oral solution"
Gripex  Max,500 mg/30 mg/15 mg film -  coated tablets
Gripofen,caps. x 10
Gripofen  Antitussive,500 mg/200 mg/10 mg  powder for oral solution
Gripofen  C,500 mg/25 mg/200 mg  powder for oral solution
Gripp  - Heel,tablets
Grippostad  - Rhino,"1 mg/ml nasal spray,  solution"
Grippostad  Ambro,30 mg tablets
Grippostad  C,caps. x 10
Grippostad  Hot Drink,powd. 600 mg/5 g - 5 g x  5; x 10
Gtimegamma,3 mg tablets
Gutron,5 mg tablets
Gutron,"2,5 mg tablets"
Gynaika,"1 mg/0,5 mg film -  coated tablets"
Gynalgin,250 mg/100 mg vaginal  tablets
Gynazol,20 mg/g vaginal cream
Gynipral,"0,5 mg tablets"
Gynipral,5 micrograms/ml solution  for injection
Gyno  - Daktarin,"400 mg vaginal capsules,  soft"
Gynoflor,vaginal tablets
Gyno-Pevaryl,150 mg pessaries
Gyno-Pevaryl,50 mg pessaries
Haemocomplettan  P,1 g powder for solution  for injection/infusion
Haemoctin,250 IU powder and  solvent for solution for injection
Haemoctin,1000 IU powder and  solvent for solution for injection
Haemoctin,500 IU powder and  solvent for solution for injection
Haloperidol  Sopharma,5 mg/ml solution for  injection
Haloperidol-Richter,"1,5 mg tablets"
Harpadol,caps. 435 mg x 45; x 150
Hartil  HCT,"2,5 mg/12,5 mg tablets"
Hartil  HCT,5 mg/25 mg tablets
Hartmann Braun,solution for infusion
Havrix  1440,suspension for injection  ( junior monodose)
Havrix  720,suspension for injection  ( junior monodose)
Headan,100 mg film - coated  tablets
Headan,50 mg film - coated  tablets
Hedelix,"0,04 g/ml oral drops,  solution"
Hedelix,"0,8 g/100  ml syrup"
Hedera Helix,leaves dry extract  Sanofi syrup
Hedespan,7 mg/ml syrup
Hedonin,25 mg film - coated  tablets
Hedonin,100 mg film - coated  tablets
Hedonin,200 mg film - coated  tablets
Hehoraletten  N,"5 mg/l,5 mg lozenges"
Helicid,"10 mg gastro - resistant  capsules, hard"
Helicid,"40 mg gastro - resistant  capsules, hard"
Helicid,"40 mg gastro - resistant capsules, hard"
Helicid,"20 mg gastro - resistant  capsules, hard"
Helicid,"20 mg gastro - resistant  capsules, hard"
Helicid  40 INF,40 mg powder for  solution for infusion
Helides,20 mg gastro - resistant  tablets
Helides,40 mg gastro - resistant  tablets
Helides,"20 mg gastro - resistant  capsules, hard"
Helides,"40 mg gastro - resistant  capsules, hard"
Helituspan,7 mg/ml syrup
Helix,40 mg gastro - resistant  tablets
Helmicid,"1,235 g/5 ml syrup"
Hemosol B0,solution for  haemofilysis/haemofiltration
Hepa  - Merz,3 g granules for oral  solution
Hepa  - Merz,5 g/10 ml concentrate  for solution for infusion
Heparin  - Natrium,sol. inj. 25 000 IU/5 ml  x 1; x 10
Heparin  Panpharma,5000 IU/ml solution for  injection
Heparinum  WZF,5 000 IU/ml solution for  infusion
Heparoid,100 IU/mg ointment
Heparoid  Zentiva,100 IU/mg ointment
Hepatect  CP,50 IU/ml solution for  infusion
Hepcarsil,"45 mg capsules, hard"
Hepcarsil  Forte,"90 mg capsules, hard"
Hepeel  N,tablets
Herbion  Iceland moss,6 mg/ml syrup
Herbion  Ivy,lozengez
Herbion Ivy,7 mg/ml syrup
HERPEX,50 mg/g cream
Hetonazol,20 mg/g shampoo
Hexalgin,"500 mg/ml oral drops,  solution"
Hexalgin  for Kids,"500 mg/ml oral drops,  solution"
Hexisept,loz. 5 mg x 20
Hexisept,5 mg buccal tablets
Hexoral,"0,2 g/100 ml oromucosal  spray"
Hexoral,"0,1 g/100 ml oromucosal  solution"
Hexoral  Spray,"0,2 g/100 ml oromucosal  spray"
Hexoraletten N,"5 mg/1,5 mg lozenges"
Hexpectoral  Honey and Lemon,20 mg/ml syrup
Hexpectoral  Menthol,20 mg/ml oral solution
Hiberix,powder and solvent for  solution for injection
Hidrasec,10 mg granules for oral  suspension
Hidrasec,"100 mg capsules, hard"
Hidrasec,30 mg granules for oral  suspension
Hidroxychloroqune  Sulfate Accord,200 mg film - coated  tablets
Histalor,5 mg/ 5 ml syrup
Histalor,1 mg/ml syrup
Holetar,20 mg tablets
Holetar,40 mg tablets
Hollesta,10 mg film - coated  tablets
Hollesta,20 mg film - coated  tablets
Hollesta,40 mg film - coated  tablets
Holoxan,500 mg powder for  solution for infusion
Holoxan,1 g powder for solution  for infusion
Holoxan,2 g powder for solution  for infusion
Homeogene,9 tablets
Homeoplasmine,ointment
Homeoptic,"eye drops, solution"
Homeovox,coated tablets
Hormeel  SN,drops - 30 ml
Hotemin,10 mg capsules
Hotemin,1% cream
Hotemin,20 mg hard capsules
Hotemin,20 mg/ml solution for  injection
Hronileucem,"100 mg capsules, hard"
Hronileucem,"400 mg capsules, hard"
Human Albumin,200g/l baxalta solution  for infusion
Human Albumin,50g/l baxalta solution  for infusion
Human  Albumin CSL Behring,200 g/l solution for  infusion
Human Albumin Grifols,20 % solution for  infusion
Human  Normal Immunoglobulin 10 % - BB,solution for injection
Humexcough  Adults,5 g/100 ml syrup
Humexcough  Children,2 g/100 ml syrup
Humexdry  Adults,20 mg/15 ml syrup
Humexdry  Children,5 mg/5 ml syrup
Humexgrip,500 mg/60 mg tablets +  500 mg/4 mg capsules
Humulin  M3,100 IU/ml suspension for  injection in cartridge
Humulin N,100 IU/ml suspension for  injection in cartridge
Humulin  R,100 IU /ml suspension  for injection in cartridge
Hustagil  Thyme Cough Syrup,
Husteel,"oral drops, solution"
Hyalgan,20 mg solution for  injection
Hydrea,"500 mg capsules, hard"
Hydrochlorothiazide  Bluescience,"12,5  mg tablets"
Hydrochlorothiazide Bluescience,25  mg tablets
Hydrocortison,"cum chloramphenicol eye  drops, suspension"
Hydrocortison  cum chloramphenicol,"eye drops, suspension"
Hydrocortisone Rompharm,100 mg powder for  solution for injection/infusion
Hydrogen  Peroxide Chemax Pharma,3% cutaneous solution
Hydrogen  Peroxide Galen - Pharma,3% cuteneous solution
Hydrogen  Peroxide Kupro,3% cutaneous solution
Hydrogen  peroxide-Flo,3% cut. Sol.
Hydrogeni  Peroxidatum VT,3% cutaneous solution
HYGIA,1% shampoo
Hymecromon  Sopharma,400 mg tablets
Hymecromon Unipharm,400 mg tablets
HyperRho,sol. inj. 1 500 IU
Hypertonic,50 mg film - coated  tablets
Hyplafin,5 mg film - coated  tablets
HypoDehydra,25 mg tablets
Hyposart,4 mg tablets
Hyposart,8 mg tablets
Hyposart,32 mg tablets
Hyposart,16 mg tablets
Hyxazin,4 mg prolonged - release  tablets
IASOcholine,1 GBq/ml solution for  injection
IASOflu,"2,0 GBq/ml,solution for  injection"
Ibalgin  Fast,400 mg film - coated  tablets
Ibalgin Rapid,"200 mg capsules, soft"
Ibalgin Rapid,"400 mg capsules, soft"
Ibalgin  Rapid Junior,"400 mg capsules, soft"
Ibalgin  Rapid Junior,"200 mg capsules, soft"
Ibandronic  acid Actavis,2 mg concentrate for  solution for infusion
Ibandronic  acid Actavis,6 mg concentrate for  solution for infusion
Ibandronic  Acid Actavis,3 mg solution for  injection
Ibandronic Acid Actavis,50 mg film - coated  tablets
Ibandronic  Acid Alvogen,3 mg pre - filled  syringe solution for injection
Ibandronic  Acid Liconsa,150 mg film - coated  tablets
Ibandronic  Acid Mylan,150 mg film - coated  Tablets
Ibandronic Acid Poloharma,3 mg solut. Inj.
Ibandronic  acid Sandoz,6 mg/6 ml concetrate for  solution for infusion
Ibandronic acid Sandoz,3 mg/3 ml solution for  injection
Ibandronic  acid Stada,150 mg film - coated  tablets
Ibandronic  Acid Synthon,150 mg film - coated  tablets
Ibandronic  Acid Teva,2 mg/2 ml concentrate  for solution for infusion
Ibandronic  acid Teva,3 mg/3 ml solution for  injection in pre - filled sypringe
Ibandronic  acid Teva,6 mg/6 ml concentrate  for solution for infusion
Iberogast,"oral drops, solution"
Ibodria,3 mg/3 ml solution for  injection in pre - filled syringe
Ibodria,6 mg/6 ml concetrate for  solution for infusion
Ibudolor,"300 mg prolonged -  release capsule, hard"
Ibudolor,200 mg film - coated  tablets
Ibudolor,400 mg film - coated  tablets
Ibudolor  Duo,50 mg/g + 30 mg/g gel
Ibudolor  Kids,100 mg/5 ml oral  suspension
Ibufen,200 mg efferv. Tablets
Ibulek,400 mg powder for oral  solution
Ibulek,600 mg powder for oral  solution
Ibulek  Children,100 mg/5ml oral  suspension
IbuMenthol,50 mg/g + 30 mg/g gel
Ibupain,"200 mg capsules, soft"
Ibupain,"400 mg capsules, soft"
Ibuprofen  Accord,200 mg film - coated tablets
Ibuprofen  Accord,400 mg film - coated  tablets
Ibuprofen Accord,600 mg film - coated  tablets
Ibuprofen  B. Braun,600 mg/100 ml solution  for infusion
Ibuprofen  B. Braun,400 mg/100 ml solution  for infusion
Ibuprofen  B. Braun,600 mg/100 ml solution  for infusion
Ibuprofen Nutra Essential,20 mg/ ml oral  suspension
Ibuprofen Nutra Essential,100 mg/ml oral  suspension in sachet
Ibuprofen Nutra Essential,200 mg/ml oral  suspension in sachet
Ibuprofen Nutra Essential,400 mg/ml oral  suspension in sachet
Ibuprofen  Pharma,400 mg film - coated  tablets
Ibuprofen  Pharma,600 mg film - coated  tablets
Ibuprofen  Polfa,200 mg coated tablets
Ibuprofen  Rockspring,200 mg effervescent  granules
Ibuprofen Rockspring,600 mg effervescent  granules
Ibuprofen  Stada Stopcold,400 mg film - coated  tablets
Ibuprofen/Codeine Phosphate  Rockspring,400 mg/30 mg film -  coated tablets
Ibuprom,200 mg coated tablets
Ibuprom,100 mg/5 ml oral  suspension
IBUPROM  COLD & FLU,"200 mg/6,1 mg coated tablets"
Ibuprom  Cold and Flu for kids,200 mg coated tablets
Ibuprom  Max,400 mg coated tablets
Ibuprom  Optima,200 mg/5 ml oral  suspension
Ibuprom Sinus,200 mg/30 mg coated  tablets
Ibuprom  Sprint,"200 mg capsules, soft"
Ibuprom  Sprint MAX,"400 mg capsules, soft"
Iburapid,400 mg film - coated  tablets
Iburapid  Kids,100 mg/5 ml oral  suspension
Ibutop,50 mg/g gel
Ibutop,50 mg/g cream
Ichthammol Galen-Pharma,oint. 10% - 15 g; 30 g
Idafer,20 mg/ml solution for  injection
Ideos,500 mg/400 IU chewable  tablets
IELMAG3,"0,2 mg kit for  radiopharmaceutical preparation"
Iffeza,"125 mcg/5 mcg inhalation, suspension"
Iffeza,"250 mcg/10 mcg inhalation, suspension"
Iffeza,"50 mcg/5 mcg inhalation, suspension"
Ilgaper,1  mg tablets
Ilgaper,2  mg tablets
Ilibrift,"7,5 mg film - coated tablets"
Ilibrift,5 mg film - coated tablets
Ilomedin,20 micrograms/ml  concentrate for solution for infusion
Imakrebin,400 mg film - coated  tablets
Imakrebin,100 mg film - coated  tablets
Imatinib  Actavis Group,400 mg film - coated  tablets
Imatinib  Actavis Group,100 mg film - coated tablets
Imatinib Adipharm,100 mg hard capsules
Imatinib Adipharm,200 mg hard capsules
Imatinib Adipharm,400 mg hard capsules
Imatinib  Amomed,100 mg film - coated  tablets
Imatinib  Amomed,400 mg film - coated  tablets
Imatinib BioOrganics,100 mg film - coated  tablets
Imatinib BioOrganics,400 mg film - coated  tablets
Imatinib  Cipla,"100 mg capsules, hard"
Imatinib  Cipla,"100 mg capsules, hard"
Imatinib  Fair - Med,100 mg film - coated  tablets
Imatinib  Fair - Med,400 mg film - coated  tablets
Imatinib  Glenmark,lOOmg film - coated tablet
Imatinib Glenmark,400mg film - coated tablet
Imatinib  Krka,100 mg film - coated  tablets
Imatinib  Krka,400 mg film - coated  tablets
Imatinib Romastru,100 mg film - coated  tablets
Imatinib Romastru,400 mg film - coated  tablets
Imatinib  Sandoz,100 mg film - coated  tablets
Imatinib  Synthon,100 mg capsules
Imatinib Synthon,100 mg film - coated  tablets
Imatinib Synthon,400 mg film - coated  tablets
Imatinib  Teva Pharma,400 mg film - coated tablets
Imatinib  Teva Pharma,100 mg film - coated tablets
Imatinib  Zentiva,400 mg film - coated  tablets
Imatinib  Zentiva,100 mg film - coated  tablets
Imavec,400 mg film - coated  tablets
Imavec,100 mg film - coated  tablets
Imazol Paste,past. cut. 10 mg/g - 25 g
Imecitin,250 mg/250 mg powder for  solution for infusion
Imecitin,500 mg/500 mg powder for  solution for infusion
Imex,30 mg/g ointment
Imigran,50 mg film - coated  tablets
Imipenem Cilastatin AvantX,500 mg/500 mg powder for  solution for infusion
Imipenem  Cilastatin Panpharma,250 mg/250 mg powder for  solution for infusion
Imipenem  Cilastatin Panpharma,500 mg/500 mg powder for  solution for infusion
Imipenem/Cilastatin AptaPharma,500 mg/50 mg powder for  solution for infusion
Imipenem/Cilastatin Avantax,powder solut. Infus. 250  mg
Imipenem/Cilastatin Avantax,powder solut. Infus. 500  mg
Imipenem/Cilastatin Hospira,500 mg/500 mg powder for  solution for infusion
Imipenem/Cilastatin Tokuda,500 mg/500 mg powder for  solution for infusion
ImmuCyst,81 mg powder for  intravesical suspension
Immunate,1000 IU FVIII/750 IU VWF  powder and solvent for solution for injection
Immunate,500 IU FVIII/375 IU VWF  powder and solvent for solution for injection
Immunate,250 IU FVIII/190 IU VWF  powder and solvent for solution for injection
Immunine,600 IU powder and  solvent for solution for injection/ijnfusion
Immunine,1 200 IU powder and  solvent for solution for injection/ijnfusion
Immunokind,tablets
Immunoprin,100 mg film - coated  tablets
Immunoprin,75 mg film - coated  tablets
Immunovenin-Intact  50% IgG,50 g/l solution for  infusion
Imodium,"2 mg capsules, hard"
Imodium  Instant,2 mg orodispersible tablets
Imodium  Plus,2 mg/125 mg chewable  tablets
Imodium  Plus,2 mg/125 mg caplets
Imomed,2 mg tablets
Imoper,667  mg/ml syrup
Imovax Polio,"susp. inj. pre-filled syringe 0,5 ml x 1; susp. inj. 5 ml vial x 10"
Imoviva,"100 mg capsules, hard"
Impactin  Duo,"5 mg/10 mg capsules, hard"
Impactin  Duo,"10 mg/10 mg capsules,  hard"
Impactin  Duo,"10 mg/5 mg capsules,  hard"
Impactin  Duo,"5 mg/5 mg capsules, hard"
Implanon  NXT,68 mg implant for  subdermal use
Implicor,25 mg/5 mg film - coated  tablets
Implicor,50 mg/5 mg film - coated  tablets
Implicor,"25 mg/7,5 mg film -  coated tablets"
Implicor,"50 mg/7,5 mg film -  coated tablets"
Imuran,50 mg film - coated  tablets
Indagen SR,"prolong - res. tabl. 1,5 mg x 10; x 30; x 90; x 100"
Indapagamma,"1,5 mg prolonged -  release tablets"
Indapamide J&P Pharma,"tabl. prolong 1,5 mg x 28; x 56"
Indapamide-Vitania,1.5 mg prol-rel. tablets
Indapen  SR,"1,5 mg prolonged -  release tablets"
Indastad,"tabl. prolong. 1,5 mg x 10; x 15; x 30; x 50; x 60; x 90; x 100"
Indextol,50 mg/g + 10 mg/g + 50  mg/g oromucosal paste
Indicon  SR,"1,5 mg prolonged -  release tablets"
Indipam,"2,5 mg film - coated  tablets"
Indipam  SR,"1,5 mg prolonged -  release tablets"
"Indipam SR 1,5 MG",tabl. x 30
Indocollyre,"1 mg/ml eye drops, solution"
Indolen  SR,"1,5 mg prolonged -  release tablets"
Indometacin,gel 10% - 40 g
Indometacin,gel 5% - 40 g
Indometacin,tabl. gastro-res. 25 mg x 30; ? 1 350
Indometacin Actavis,oint. 10% - 40 g
Indometacin  DS,10% ointment
Indometacin Sevtopolis,caps. 25 mg x 30
Indometacin Sopharma,oint. 10% - 40 g
Indometacin  Sopharma,100 mg suppositories
Indometacin  Sopharma,50 mg suppositories
Indometacin  Sopharma,25 mg gastro - resistant  tablets
Indometacin  Sopharma,10 g/100 g ointment
Indometacin Vetprom,oint. 10% - 40 g
Indometacin Vramed,oint. 10% - 40 g
Indorin,"0,5  mg tablets"
Indorin,1  mg tablets
Indorin,2  mg tablets
Indorin,4  mg tablets
Indotroxin,gel - 45 g
Indovasin,gel - 45 g
Indovasin,30 mg/20 mg/1 g gel
Inegy,10 mg/10 mg tablets
Inegy,10 mg/20 mg tablets
Inegy,10 mg/40 mg tablets
Inegy,10 mg/80 mg tablets
Inevica,5 mg film - coated  tablets
Inevica,"7,5 mg film - coated  tablets"
Infanrix,"susp. inj. pre-fill. syr. 0,5 ml + needle x 1; vial 0,5 ml x 1; x 100"
Infanrix,suspension for injection
Infanrix-IPV+Hib,Infarix- IPV+Hib powder  and suspension for suspension for injection
Inflexal V,"susp. inj. pre-filled syr. 0,5 ml x 1; x 10"
Influbene,"1000 mg/12,2 mg powder  for oral solution"
Influbene,"500 mg/12,2 mg powder  for oral solution"
Influcid,tablets
Infludex,syr - 120 ml
Influnasal,"l g/l0 g nasal spray,  solution"
Influtusin,syrup
Influvac,suspension for injection
Influvac 2012/2013,suspension for injection
Influvac  Tetra,suspension for injection  in pre - filled syringe
Infusiflux,2 mg/ml solutio for infusion
Inhibace,1 mg film - coated  tablets
Inhibace,"2,5 mg film - coated  tablets"
Inhibace,5 mg film - coated  tablets
Injexate,50 mg/ml solution for  injection in pre - filled syringe
Inkontan,30 mg film - coated  tablets
Inkontan,15 mg film - coated  tablets
Inosipranol,500 mg powder for oral  solution
Inosipranol,1000 mg powder for oral  solution
INOVOX  Express honey-lemon flavor,"2 mg + 0,60 mg + 1,20 mg  lozenges"
INOVOX  Express mint flavor,"2 mg + 0,60 mg + 1,20 mg  lozenges"
INOVOX  Express orange flavor,"2 mg + 0,60 mg + 1,20 mg  lozenges"
Inspra,25 mg film - coated  tablets
Inspra,50 mg film -  coated.tablets
Instrel,tabl. 70 mg x 4; x 12; x 24; x 28
Insufor,500 mg film - coated tablets
Insufor,850 mg film - coated tablets
Insufor,1000 mg film - coated tablets
Insulatard,susp. inj. 40 IU/ml - 10 ml x 1
Integrilin,"sol. inf. 0,75 mg/ml - 100 ml x 1"
Integrilin,sol. inj. 2 mg/ml - 10 ml x 1
Intralipid,200 g/1 000 ml emulsion  for infusion
Intralipid 10%,"emul. inf. 0,1 g/ml - 100 ml x 10; x 12; 500 ml x 12"
Intralipid 20%,"emul. inf. 0,2 g/ml - 100 ml x 10; x 12; 250 ml x 10; x 12; 500 ml x 10; x 12"
Intralipid 30%,"emul. inf. 0,3 g/ml - 333 ml x 12; 250 ml x 10; x 12"
Intratect,50 g/l solution for  infusion
Intratect,100 g/l solution for  infusion
IodoPol,"37- 7400 MBq capsule,  hard"
Iodseptadon,10% cutaneous solution
Iomeron,200 mg/ml solution for  injection
Iomeron,250 mg/ml solution for  injection
Iomeron,300 mg/ml solution for  injection
Iomeron,350 mg/ml solution for  injection
Iomeron,400 mg/ml solution for  injection
Ionolyte,solution for infusion
Iopamigita,300 mg/ml solution for  injection/infusion
Iopamigita,370 mg/ml solution for  injection/infusion
Iopamiro,300 mg/ml solution for  injection
Iopamiro,370 mg/ml solution for  injection
Iopamiro 300,sol. inj. 300 mgI/ml - 10 ml; 30 ml; 50 ml; 100 ml
Iopamiro 370,sol. inj. 370 mg I/ml - 10 ml; 30 ml; 50 ml; 100 ml
Ipertazin,"62,5 mg film - coated  tablets"
Ipertazin,125 mg film - coated  tablets
Ipratropium Bromide/Salbutamol  Cipla,"0,5/2,5 mg per 2,5 ml  nebuliser solution"
Ipravent,"20 micrograms per  actuation pressurised inhalation, solution"
Iprezide,"300 mg/12,5 mg film - coated  tablets"
Iprezide,"150 mg/12,5 mg film - coated  tablets"
Irbec,150 mg tablets
Irbec,300 mg tablets
Irbec,75 mg tablets
Irbecon-CO,"150 mg/12,5 mg  film-coated tablets"
Irbesan,150 mg film - coated  tablets
Irbesan,300 mg film - coated  tablets
Irbesartan  /Hydrochlorothiazide Richter,300 mg/25 mg flim tabl.
Irbesartan  /Hydrochlorothiazide Richter,"300 mg/12,5 mg flim  tabl."
Irbesartan  /Hydrochlorothiazide Richter,"150 mg/12,5 mg flim tabl."
Irbesartan  Accord,150 mg film-coated  tablets
Irbesartan  Accord,300 mg film-coated  tablets
Irbesartan Accord,75mg film - coated  tablets
Irbesartan  Liconsa,150 mg tablets
Irbesartan  Liconsa,300 mg tablets
Irbesartan  Liconsa,75 mg tablets
Irbesartan Richter,"75 mg, 150 mg, 300 mg film-release tablets"
Irbesso,150 mg film - coated  tablets
Irbesso,300 mg film - coated  tablets
Irinic Teva,"0,5 mg/ml + 50 mg/ml  nasal spray, solution"
Irinic Teva,"1 mg/ml + 50 mg/ml nasal  spray, solution"
Irinocol,20 mg/ml concentrate for  solution for infusion
Irinotecan  Accord,20 mg/ml concentarte for  solution for infusion
Irinotecan  Actavis,20 mg/ml concentrate for  solution for infusion
Irinotecan  Bulgermed,20 mg/ml concetrate for  solution for infusion
Irinotecan  CSC,20 mg/ml concentrate for  solution for infusion
Irinotecan  Ebewe,20 mg/ml concetrate for  solution for infusion
Irinotecan EBWE,20 mg concentrate solution infusion
Irinotecan  Hospira,20 mg/ml concentrate for  solution for infusion
Irinotecan  Kabi,20 mg/ml concentrate for  solution for infusion
Irinotecan  Mylan,20 mg/ml concentrate for  solution for infusion
Irinotecan  Novamed,20 mg/ml concentrate for
Irinotecan Polpharma,sol. inf. conc. 20 mg/ml - 1 x 2 ml; 1 x 5 ml
Irinto,20 mg/ml concentrate for  solution for infusion
Irinto,20 mg/ml concentrate for  solution for infusion
IronFol,"100 mg/0,35 mg chewable  tablets"
Irprestan,75 mg film - coated  tablets
Irprestan,150 mg film-coated  tablets
Irprestan,300 mg film-coated  tablets
Irprezide,"300 mg/12,5 mg film - coated  tablets"
Irprezide,"150 mg/12,5 mg film - coated  tablets"
Irropia,10 mg film - coated  tablets
Irropia,10 mg orodispersible  tablets
Irropia,15 mg orodispersible  tablets
Irropia,20 mg orodispersible  tablets
Irropia,5 mg film - coated  tablets
Irropia,5 mg orodispersible  tablets
Irropia,"7,5 mg film - coated  tablets"
Iruxol Mono,30 g ointment
Isocor,tabl. film 80 mg x 30
Isocor,"2,5 mg/ml solution for  injection/infusion"
Isodinit,10 mg tablets
Isodinit,20 mg tablets
Isoflurane  MC Pharma,"100 % v/v inhalation  vapour, liquid"
Isoflurane Nicholas Piramal,liq. inh. 100% - 100 ml; 250 ml
Isoket,1.25 mg/dose oromucosal spray
Isoket,5 mg tablets
Isoket 5,tabl. 5 mg x 60
Isoket  Spray,"1,25 mg/dose oromucosal  spray"
Isonid,100 mg tablets
Isoprinosine,50 mg/ml syrup
Isoprinosine,500 mg tablets
Isoprinosine,1000 mg powder for oral  solution
Isoptin,80 mg film - coated tablets
Isoptin  SR,120 mg prolonged -  release tablets
Isoptin  SR,240 mg prolonged -  release tablets
Isosorbe,40 mg prolonged -  release tablets
Isosorbe,60 mg prolonged -  release tablets
Itraconazol Fungizol,"100 mg capsules, hard"
Itranazole,caps. 100 mg x 4; x 15
Ivabenor,5 mg film - coated  tablets
Ivabenor,"7,5 mg film - coated  tablets"
Ivabradine Mylan,5 mg film - coated  tablets
Ivabradine Mylan,"7,5 mg film - coated tablets"
Ivabradine Teva,5 mg film - coated  tablets
Ivabradine Teva,"7, 5 mg film - coated  tablets"
Ivadron,150 mg film-coated  tablets
Ivadron,3 mg/3 ml solution for  injection
Ivitus,7 mg/ml oral solution
Ivrix,"37,5 mg tablets"
Ivrix,75 mg tablets
Ixel,"25 mg capsules, hard"
Ixel,"50 mg capsules, hard"
Izepox,6 mg/6 ml concentrate for solution for infusion
Izoket,5 mg tablets
Izoreks,50 mg/ml oral solution
Izoreks,500 mg tablets
Izoreks  Duomax,100 mg/ml syrup
Izzoprin,1 000 mg powder for oral  solution
Izzoprin,500 mg powder for oral  solution
Jamax,5 mg tablets
Jangee,"0,02 mg/3 mg film - coated  tablets"
Jangee,"0,03 mg/3 mg film - coated  tablets"
Jangee,"0,02mg/3mg 28 film -  coated tablets"
Jangee,"0,03mg/3mg 28 film -  coated tablets"
Jaydess,"13,5 mg intrauterine  delivery system"
Jeanine,"0,03 mg/2,0 mg coated tablets"
Jectamol,"1 g/6,7 ml concentrate  for solution for infusion"
Jectamol  Plus,600 mg/20 mg/4 ml  solution for injection
Jimandin,100 mg film - coated  tablets
Jodaderm  VT,10% cutaneous solution
Jodasept,10 % ointment
Jodasept  Kupro,10% (w/w) cutaneous  solution
Jodasept  Kupro,"7,5% (w/w) cutaneous  solution"
Jodasept  Kupro,10% ointment
Jovesto,"0,5 mg fil-coated tablets"
Jovesto,5 mg film - coated  tablets
Jovesto,"0,5 mg/ml oral solution"
Juliperla,"0,075 mg/0,020 mg  tablets"
Jumex,5 mg tablets
Ka  - Vit,"20 mg/ml oral drops,  emulsion"
Kabiven,emul. inf - 1 026 ml x  1; x 4; 1 540 ml x 1; x 4; 2 053 ml x 1; x 2; x 4; 2 566 ml x 1; x 2; x 3
Kabiven  Peripheral,emul. inf - 1 440 x 1; x  4; 1 920 x 1; x 2; x 4; 2 400 ? 1; x 2; x 3
Kalcipos-D  Forte,500 mg/800 IU chewable  tablets
Kaldera,75 mg film - coated  tablets
Kaldera  SPM,75 mg film - coated  tablets
Kalii  Iodidum,tabl. 65 mg x 10
Kalii  Iodidum Ramcopharm,65 mg tablets
Kalinor,effervescent tablets
Kalinoxal,"50 %/50 % medicinal gas,  compressed"
Kalium  Chloratum Sopharma,sol. inj. 15% - 150  mg/ml - 10 ml x 5; # 50
Kalium  Chlorid Braun,"14,9% concentrate for  solution for infusion"
"Kaliumchlorid  14,9% Braun","conc. inf. 14,9% - 10 ml  x 20"
Kalmente,"50 micrograms/actuation  nasal spray, suspension"
KALVEN,400 mg/57 mg/5 ml powder  for oral suspension
Kalymin,60 mg tablets
Kamiren,1 mg tablets
Kamiren,2 mg tablets
Kamiren,4 mg tablets
Kamiren  XL,4 mg modified - release  tablets
Kandizol,"150 mg capsules, hard"
Kandoset,16 mg/5 mg tablets
Kandoset,8 mg/5 mg tablets
Kanilad,50 mg film - coated  tablets
Kanilad,100 mg film - coated  tablets
Kanilad,150 mg film - coated  tablets
Kanilad,200 mg film - coated  tablets
Kapidin,10 mg film - coated  tablets
Kapidin,20 mg film - coated  tablets
Kaplon,250 mg film - coated  tablets
Kaplon,500 mg film - coated  tablets
Kaplon  XL,500 mg prolonged -  release tablets
Karbicombi,8 mg/12.5 mg tablets
Karbicombi,16 mg/12.5 mg tablets
Karbicombi,32 mg/12.5 mg tablets
Karbicombi,32 mg/25 mg tablets
Karbis,16 mg tablets
Karbis,32 mg tablets
Karbis,4 mg tablets
Karbis,8 mg tablets
Kardiket Retard,20 mg prolonged -  release tablets
Karesol,10 mg film - coated  tablets
Karesol,5 mg film - coated  tablets
Kefadim,1 g powder for solution  for injection
Kefort,150 mg film - coated  tablets
Kerstipon,"1,5 mg hard capsules"
Kerstipon,3 mg hard capsules
Kerstipon,"4,5 mg hard capsules"
Kerstipon,6 mg hard capsules
Ketamine  ELC,50 mg/ml solution for  injection
Ketiap,100 mg film - coated  tablets
Ketiap,150 mg film - coated  tablets
Ketiap,200 mg film - coated  tablets
Ketiap,25 mg film - coated  tablets
Ketiap,300 mg film -coated tablets
Ketilept  Retard,50 mg prolonged - release  tablets
